timestamp,user_id,day,quiz_id,image_index,illusion_filename,user_answer,response_time,speed_group,display_time,correct_answer,line_length1,line_length2,actual_difference,arrow_length,angle,arrow_color,is_control,is_correct
2024-11-05 01:40:22,Haleygundie,1,0,36,muller_lyer_day1_illusion29.svg,Same length,1.932,Group 1 - Fast,0.5,Same length,210,210,0,20,36,red,False,True
2024-11-05 01:40:27,Haleygundie,1,0,37,muller_lyer_day1_illusion33.svg,Left,3.198,Group 1 - Fast,0.5,Same length,200,200,0,20,36,red,False,False
2024-11-05 01:40:30,Haleygundie,1,0,38,muller_lyer_day1_illusion24.svg,Left,2.159,Group 1 - Fast,0.5,Left,205,200,5,20,36,black,False,True
2024-11-05 01:40:33,Haleygundie,1,0,39,muller_lyer_day1_illusion44.svg,Left,1.644,Group 1 - Fast,0.5,Left,220,180,40,20,36,red,False,True
2024-11-05 01:40:36,Haleygundie,1,0,40,muller_lyer_day1_illusion41.svg,Same length,1.719,Group 1 - Fast,0.5,Left,205,200,5,20,36,red,False,False
2024-11-05 01:40:39,Haleygundie,1,0,41,muller_lyer_day1_illusion47.svg,Left,1.77,Group 1 - Fast,0.5,Left,210,185,25,20,36,red,False,True
2024-11-05 01:40:43,Haleygundie,1,0,42,muller_lyer_day1_illusion7.svg,Right,3.053,Group 1 - Fast,0.5,Same length,215,215,0,20,36,black,False,False
2024-11-05 01:40:46,Haleygundie,1,0,43,muller_lyer_day1_illusion6.svg,Left,1.696,Group 1 - Fast,0.5,Same length,195,195,0,20,36,black,False,False
2024-11-05 01:40:49,Haleygundie,1,0,44,muller_lyer_day1_illusion17.svg,Left,1.783,Group 1 - Fast,0.5,Left,205,200,5,20,36,black,False,True
2024-11-05 01:40:52,Haleygundie,1,0,45,muller_lyer_day1_illusion2.svg,Left,2.556,Group 1 - Fast,0.5,Same length,195,195,0,20,36,black,False,False
2024-11-05 01:40:56,Haleygundie,1,0,46,muller_lyer_day1_illusion1.svg,Same length,2.073,Group 1 - Fast,0.5,Same length,185,185,0,20,36,black,False,True
2024-11-05 01:40:59,Haleygundie,1,0,47,muller_lyer_day1_illusion12.svg,Left,2.037,Group 1 - Fast,0.5,Same length,190,190,0,20,36,black,False,False
2024-11-05 03:39:35,HRB,1,0,0,muller_lyer_day1_illusion5.svg,Right,7.081,Group 1 - Fast,0.5,Same length,210,210,0,20,36,black,False,False
2024-11-05 03:39:40,HRB,1,0,1,muller_lyer_day1_illusion10.svg,Left,3.808,Group 1 - Fast,0.5,Same length,185,185,0,20,36,black,False,False
2024-11-05 03:39:45,HRB,1,0,2,muller_lyer_day1_illusion32.svg,Left,3.424,Group 1 - Fast,0.5,Same length,215,215,0,20,36,red,False,False
2024-11-05 03:39:49,HRB,1,0,3,muller_lyer_day1_illusion19.svg,Right,2.865,Group 1 - Fast,0.5,Right,200,220,-20,20,36,black,False,True
2024-11-05 03:39:53,HRB,1,0,4,muller_lyer_day1_illusion8.svg,Same length,2.748,Group 1 - Fast,0.5,Same length,215,215,0,20,36,black,False,True
2024-11-05 03:39:56,HRB,1,0,5,muller_lyer_day1_illusion13.svg,Left,2.221,Group 1 - Fast,0.5,Right,185,200,-15,20,36,black,False,False
2024-11-05 03:40:01,HRB,1,0,6,muller_lyer_day1_illusion25.svg,Same length,3.626,Group 1 - Fast,0.5,Same length,185,185,0,20,36,red,False,True
2024-11-05 03:40:06,HRB,1,0,7,muller_lyer_day1_illusion4.svg,Left,3.82,Group 1 - Fast,0.5,Same length,180,180,0,20,36,black,False,False
2024-11-05 03:40:10,HRB,1,0,8,muller_lyer_day1_illusion22.svg,Left,2.868,Group 1 - Fast,0.5,Left,205,180,25,20,36,black,False,True
2024-11-05 03:40:14,HRB,1,0,9,muller_lyer_day1_illusion23.svg,Left,2.395,Group 1 - Fast,0.5,Left,210,185,25,20,36,black,False,True
2024-11-05 03:40:18,HRB,1,0,10,muller_lyer_day1_illusion40.svg,Left,2.756,Group 1 - Fast,0.5,Left,205,195,10,20,36,red,False,True
2024-11-05 03:40:22,HRB,1,0,11,muller_lyer_day1_illusion48.svg,Right,2.625,Group 1 - Fast,0.5,Left,205,200,5,20,36,red,False,False
2024-11-05 03:40:26,HRB,1,0,12,muller_lyer_day1_illusion11.svg,Left,2.73,Group 1 - Fast,0.5,Same length,205,205,0,20,36,black,False,False
2024-11-05 03:40:29,HRB,1,0,13,muller_lyer_day1_illusion21.svg,Left,2.235,Group 1 - Fast,0.5,Left,220,190,30,20,36,black,False,True
2024-11-05 03:40:33,HRB,1,0,14,muller_lyer_day1_illusion43.svg,Same length,2.373,Group 1 - Fast,0.5,Right,200,220,-20,20,36,red,False,False
